Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Train Time (s)
Neural Network (MLP),0.9846481876332622,0.9837133550488599,0.9869281045751634,0.9853181076672104,0.9986476749486591,5.790480136871338
Logistic Regression,0.9841608285105087,0.981455725544738,0.9883286647992531,0.9848802046987671,0.9984153786403053,0.3042609691619873
Linear Support Vector Classifier,0.9835516296070667,0.9799861175381768,0.9886788048552755,0.9843132698117593,0.9984407530481715,0.28534603118896484
Random Forest,0.9554675601583917,0.9337982951400421,0.9844771241830066,0.9584682688483609,0.9918693986663949,2.0111911296844482
Multinomial Naive Bayes,0.9504721291501675,0.984142839305781,0.9199346405228758,0.9509561440550159,0.9946894755523382,0.014566898345947266
